Symptom Name,Synonyms,Description,Body Systems Affected,Frequency
Renal tubular dysfunction,Abnormal function of filtrating structures in kidney; Renal tubular defect,"Abnormal function of the renal tubule. The basic functional unit of the kidney, the nephron, consists of a renal corpuscle attached to a renal tubule, with roughly 0.8 to 1.5 nephrons per adult kidney. The functions of the renal tubule include reabsorption of water, electrolytes, glucose, and amino acids and secretion of substances such as uric acid.",genitourinary system,Uncommon (<1-4%)
Optic atrophy,Optic nerve atrophy; Optic-nerve degeneration,Atrophy of the optic nerve. Optic atrophy results from the death of the retinal ganglion cell axons that comprise the optic nerve and manifesting as a pale optic nerve on fundoscopy.,eye,Frequent (30-79%)
Spasticity,"Involuntary muscle stiffness, contraction, or spasm; Muscle spasticity; Muscular spasticity","A motor disorder characterized by a velocity-dependent increase in tonic stretch reflexes with increased muscle tone, exaggerated (hyperexcitable) tendon reflexes.",nervous system; musculoskeletal system,Occasional (5-29%)
Spastic diplegia,Spastic diparesis; Spastic diplegic,"Spasticity (neuromuscular hypertonia) primarily in the muscles of the legs, hips, and pelvis.",nervous system; musculoskeletal system,Occasional (5-29%)
Cerebellar atrophy,Atrophic cerebellum; Degeneration of cerebellum,"Cerebellar atrophy is defined as a cerebellum with initially normal structures, in a posterior fossa with normal size, which displays enlarged fissures (interfolial spaces) in comparison to the foliae secondary to loss of tissue. Cerebellar atrophy implies irreversible loss of tissue and result from an ongoing progressive disease until a final stage is reached or a single injury, e.g. an intoxication or infectious event.",nervous system,Uncommon (<1-4%)
Dystonia,Dystonic movements,"An abnormally increased muscular tone that causes fixed abnormal postures. There is a slow, intermittent twisting motion that leads to exaggerated turning and posture of the extremities and trunk.",nervous system,Occasional (5-29%)
Failure to thrive,Faltering weight; Postnatal failure to thrive; Weight faltering,Failure to thrive (FTT) refers to a child whose physical growth is substantially below the norm.,Growth,Frequent (30-79%)
Intrauterine growth retardation,"In utero growth retardation; Intrauterine growth failure; Intrauterine growth restriction; Intrauterine growth retardation, IUGR; Intrauterine retardation; IUGR; Prenatal growth deficiency; Prenatal growth failure; Prenatal growth retardation; Prenatal onset growth retardation; Prenatal-onset growth retardation; Small for gestational age infant",An abnormal restriction of fetal growth with fetal weight below the tenth percentile for gestational age.,Growth,Uncommon (<1-4%)
Ventricular septal defect,Hole in heart wall separating two lower heart chambers; Ventricular septal defects; Ventriculoseptal defect; VSD,A hole between the two bottom chambers (ventricles) of the heart. The defect is centered around the most superior aspect of the ventricular septum.,cardiovascular system,Uncommon (<1-4%)
Hypertrophic cardiomyopathy,"Cardiomyopathy, hypertrophic; Enlarged and thickened heart muscle; HCM","Hypertrophic cardiomyopathy (HCM) is defined by the presence of increased ventricular wall thickness or mass in the absence of loading conditions (hypertension, valve disease) sufficient to cause the observed abnormality.",cardiovascular system,Frequent (30-79%)
Abnormality of extrapyramidal motor function,Extrapyramidal dysfunction; Extrapyramidal signs; Extrapyramidal symptoms; Extrapyramidal syndrome; Extrapyramidal tract signs,"A neurological condition related to lesions of the basal ganglia leading to typical abnormalities including akinesia (inability to initiate changes in activity and perform volitional movements rapidly and easily), muscular rigidity (continuous contraction of muscles with constant resistance to passive movement), chorea (widespread arrhythmic movements of a forcible, rapid, jerky, and restless nature), athetosis (inability to sustain the muscles of the fingers, toes, or other group of muscles in a fixed position), and akathisia (inability to remain motionless).",nervous system,Occasional (5-29%)
Hypoplasia of the corpus callosum,Corpus callosum hypoplasia; Hypoplasia of corpus callosum; Hypoplastic corpus callosum; Underdevelopment of part of brain called corpus callosum,Underdevelopment of the corpus callosum.,nervous system,Occasional (5-29%)
Gliosis,Cerebral gliosis; Excess astrocytes in brain,Gliosis is the focal proliferation of glial cells in the central nervous system.,nervous system,Frequent (30-79%)
Leukodystrophy,Degeneration of white matter of brain,Leukodystrophy refers to deterioration of white matter of the brain resulting from degeneration of myelin sheaths in the CNS. Their basic defect is directly related to the synthesis and maintenance of myelin membranes. Symmetric white matter involvement at MRI is a typical finding in patients with leukodystrophies.,nervous system,Frequent (30-79%)
Sensory axonal neuropathy,Axonal sensory neuropathy,An axonal neuropathy of peripheral sensory nerves.,nervous system,Occasional (5-29%)
Involuntary movements,Involuntary movements; Involuntary muscle contractions,"Involuntary contractions of muscle leading to involuntary movements of extremities, neck, trunk, or face.",nervous system,Frequent (30-79%)
Diffuse spongiform leukoencephalopathy,Not specified,Not specified,nervous system,Frequent (30-79%)
Severe viral infection,Not specified,An unusually severe viral infection.,immune system,Frequent (30-79%)
Abnormality of movement,Abnormality of movement; Movement disorder; Unusual movement,An abnormality of movement with a neurological basis characterized by changes in coordination and speed of voluntary movements.,nervous system,Very frequent (80-99%)
Neuronal loss in basal ganglia,Not specified,A reduction in the number of nerve cells in the basal ganglia.,nervous system,Occasional (5-29%)
Macrotia,Large ears; Large pinnae,"Median longitudinal ear length greater than two standard deviations above the mean and median ear width greater than two standard deviations above the mean (objective); or, apparent increase in length and width of the pinna (subjective).",ear,Uncommon (<1-4%)
Ophthalmoplegia,Eye muscle paralysis; Paralysis of extraocular eye movement,Paralysis of one or more extraocular muscles that are responsible for eye movements.,eye,Frequent (30-79%)
Nystagmus,"Involuntary, rapid, rhythmic eye movements","Rhythmic, involuntary oscillations of one or both eyes related to abnormality in fixation, conjugate gaze, or vestibular mechanisms.",eye,Occasional (5-29%)
Eczema,Eczema,"Eczema is a form of dermatitis. The term eczema is broadly applied to a range of persistent skin conditions and can be related to a number of underlying conditions. Manifestations of eczema can include dryness and recurring skin rashes with redness, skin edema, itching and dryness, crusting, flaking, blistering, cracking, oozing, or bleeding.",immune system; integument,Uncommon (<1-4%)
Agenesis of corpus callosum,Absence of corpus callosum; Absent corpus callosum; Agenesis of the corpus callosum; Callosal agenesis; Corpus callosum agenesis; Dysplastic or absent corpus callosum,"Absence of the corpus callosum as a result of the failure of the corpus callosum to develop, which can be the result of a failure in any one of the multiple steps of callosal development including cellular proliferation and migration, axonal growth or glial patterning at the midline.",nervous system,Occasional (5-29%)
Growth delay,Delayed growth; Growth deficiency; Growth delay; Growth failure; Growth retardation; Poor growth; Retarded growth,A deficiency or slowing down of growth pre- and postnatally.,Growth,Frequent (30-79%)
Congestive heart failure,Cardiac failure; Cardiac failures; Cardiac insufficiency; CHF; Chronic heart failure; Heart failure,The presence of an abnormality of cardiac function that is responsible for the failure of the heart to pump blood at a rate that is commensurate with the needs of the tissues or a state in which abnormally elevated filling pressures are required for the heart to do so. Heart failure is frequently related to a defect in myocardial contraction.,cardiovascular system,Occasional (5-29%)
Anemia,Anaemia; Low number of red blood cells or hemoglobin,A reduction in erythrocytes volume or hemoglobin concentration.,blood and blood-forming tissues,Occasional (5-29%)
Abnormal facial shape,Abnormal facial shape; Abnormal morphology of the face; Distinctive facies; Dysmorphic facial features; Dysmorphic facies; Facial dysmorphism; Unusual facial appearance; Unusual facies,An abnormal morphology (form) of the face or its components.,head or neck,Uncommon (<1-4%)
Dysphagia,Difficulty swallowing; Poor swallowing; Swallowing difficulties; Swallowing difficulty,Difficulty in swallowing.,nervous system; digestive system,Occasional (5-29%)
Chorea,Choreic movements; Choreiform movements,"Chorea (Greek for 'dance') refers to widespread arrhythmic involuntary movements of a forcible, jerky and restless fashion. It is a random-appearing sequence of one or more discrete involuntary movements or movement fragments. Movements appear random because of variability in timing, duration or location. Each movement may have a distinct start and end. However, movements may be strung together and thus may appear to flow randomly from one muscle group to another. Chorea can involve the trunk, neck, face, tongue, and extremities.",nervous system,Occasional (5-29%)
Status epilepticus,Prolonged seizure; Repeated seizure without recovery; Repeated seizures without recovery between them,"Status epilepticus is a type of prolonged seizure resulting either from the failure of the mechanisms responsible for seizure termination or from the initiation of mechanisms which lead to abnormally prolonged seizures (after time point t1). It is a condition that can have long-term consequences (after time point t2), including neuronal death, neuronal injury, and alteration of neuronal networks, depending on the type and duration of seizures.",nervous system,Uncommon (<1-4%)
Distal muscle weakness,"Distal limb muscle weakness; Distal limb weakness; Distal muscular weakness; Distal paresis; Muscle weakness, distal; Muscle weakness, distal limbs, due to neuronopathy; Weakness of distal muscles; Weakness of outermost muscles",Reduced strength of the musculature of the distal extremities.,musculoskeletal system,Occasional (5-29%)
Increased CSF lactate,Hyperlactatorachia; Increased cerebrospinal fluid lactate; Increased CSF lactic acid,Increased concentration of lactate in the cerebrospinal fluid.,nervous system; metabolism/homeostasis,Very frequent (80-99%)
Psychomotor retardation,Motormental retardation; Psychomotor impairment; Psychomotor slowing,Not specified,nervous system,Frequent (30-79%)
Encephalomalacia,Cerebral softening,"Encephalomalacia is the softening or loss of brain tissue after cerebral infarction, cerebral ischemia, infection, craniocerebral trauma, or other injury.",nervous system,Uncommon (<1-4%)
Nephrotic syndrome,Nephrosis,"Nephrotic syndrome is a collection of findings resulting from glomerular dysfunction with an increase in glomerular capillary wall permeability associated with pronounced proteinuria. Nephrotic syndrome refers to the constellation of clinical findings that result from severe renal loss of protein, with Proteinuria and hypoalbuminemia, edema, and hyperlipidemia.",genitourinary system,Uncommon (<1-4%)
Ptosis,Blepharoptosis; Drooping upper eyelid; Eyelid ptosis,"The upper eyelid margin is positioned 3 mm or more lower than usual and covers the superior portion of the iris (objective); or, the upper lid margin obscures at least part of the pupil (subjective).",eye,Occasional (5-29%)
Abnormality of the skeletal system,Abnormality of the skeletal system; Skeletal abnormalities; Skeletal anomalies,An abnormality of the skeletal system.,musculoskeletal system,Occasional (5-29%)
Ataxia,Cerebellar ataxia,"Cerebellar ataxia refers to ataxia due to dysfunction of the cerebellum. This causes a variety of elementary neurological deficits including asynergy (lack of coordination between muscles, limbs and joints), dysmetria (lack of ability to judge distances that can lead to under- or overshoot in grasping movements), and dysdiadochokinesia (inability to perform rapid movements requiring antagonizing muscle groups to be switched on and off repeatedly).",nervous system,Occasional (5-29%)
Choreoathetosis,Choreoathetoid movements,Involuntary movements characterized by both athetosis (inability to sustain muscles in a fixed position) and chorea (widespread jerky arrhythmic movements).,nervous system,Occasional (5-29%)
Hepatic failure,Liver failure,Not specified,digestive system,Occasional (5-29%)
Neutropenia,Low blood neutrophil count; Low neutrophil count; Peripheral neutropenia,An abnormally low number of neutrophils in the peripheral blood.,immune system; blood and blood-forming tissues,Uncommon (<1-4%)
